Participant ID;HG1 groove;HG1 like;HG1 familiar;HG2 groove;HG2 like;HG2 familiar;HG3 groove;HG3 like;HG3 familiar;HG4 groove;HG4 like;HG4 familiar;HG5 groove;HG5 like;HG5 familiar;HG6 groove;HG like;HG familiar;HG7 groove;HG7 like;HG7 familiar;HG8 groove;HG8 like;HG8 familiar;HG9 groove;HG9 like;HG9 familiar;HG10 groove;HG10 like;HG10 familiar;LG1 groove;LG1 like;LG1 familiar;LG2 groove;LG2 like;LG2 familiar;LG3 groove;LG3 like;LG3 familiar;LG4 groove;LG4 like;LG4 familiar;LG5 groove;LG5 like;LG5 familiar;LG6 groove;LG6 like;LG6 familiar;LG7 groove;LG7 like;LG7 familiar;LG8 groove;LG8 like;LG8 familiar;LG9 groove;LG9 like;LG9 familiar;LG10 groove;LG10 like;LG10 familiar
41588;5;5;6;4;4;1;5;5;1;7;7;7;6;6;1;5;6;2;3;4;1;7;7;7;6;6;7;4;6;6;1;2;1;1;3;1;1;2;1;5;4;1;1;6;1;1;5;1;1;3;1;2;5;1;1;3;1;1;5;1
42314;7;7;7;4;4;1;5;4;1;7;6;7;5;4;5;5;6;5;6;7;1;7;7;7;5;4;6;6;5;7;1;3;1;1;2;1;1;1;1;1;3;1;1;1;1;3;2;1;1;1;1;2;4;1;2;5;1;1;2;1
43433;7;6;7;3;5;1;7;2;1;6;6;7;3;1;1;5;2;1;2;4;1;1;7;7;7;5;3;5;5;5;2;4;5;4;2;1;4;5;1;1;1;1;3;4;1;1;2;1;2;4;1;1;1;1;1;2;1;1;1;1
44123;7;7;7;6;7;4;7;7;5;7;7;7;7;7;5;6;4;5;7;6;5;7;7;7;7;7;3;7;7;6;5;2;1;2;5;2;5;7;4;3;6;6;7;7;6;3;7;5;3;6;2;3;5;1;5;6;1;3;7;3
44223;5;4;1;3;4;1;7;5;1;6;6;1;7;3;1;7;6;1;6;5;1;5;7;7;5;5;1;6;4;1;1;3;1;3;2;1;1;3;1;3;5;1;1;4;1;1;5;1;1;2;1;2;4;1;1;1;1;1;3;1
44230;7;7;7;7;7;2;7;7;7;7;7;7;7;6;2;7;7;2;6;7;1;7;7;7;4;4;6;6;6;6;3;5;1;5;5;1;4;5;2;3;3;1;3;5;1;4;6;4;5;6;3;4;7;1;2;3;1;3;5;1
45764;7;6;7;5;5;2;7;7;4;6;6;6;7;7;4;6;6;1;5;7;1;4;7;7;5;5;5;6;7;2;1;3;1;1;3;1;3;7;1;1;2;1;1;4;1;1;5;1;1;7;2;1;5;1;1;4;1;1;4;1
45829;7;5;4;7;6;1;7;2;1;7;5;5;7;5;1;7;5;1;7;6;1;4;4;4;7;6;6;5;5;5;3;3;2;4;4;1;4;3;1;3;3;1;4;5;1;3;5;1;2;5;1;4;6;1;2;3;1;3;4;1
46002;3;2;6;4;4;1;1;1;1;7;7;7;1;1;3;5;6;2;3;3;1;7;7;7;4;2;1;5;5;1;1;1;1;1;3;1;1;1;1;1;1;1;1;4;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;3
46258;5;5;2;4;4;2;5;5;2;6;7;6;5;5;2;5;5;2;5;6;2;3;6;6;3;4;2;5;6;2;2;4;2;2;4;2;2;3;2;2;3;2;2;5;2;2;3;2;2;4;2;3;5;2;2;3;2;2;5;2
46916;7;7;7;5;6;2;7;3;2;7;7;7;6;3;2;5;5;2;7;7;2;7;7;7;7;7;7;5;7;7;2;4;3;3;3;1;1;1;1;1;2;1;1;2;1;2;2;2;4;4;2;1;2;2;2;2;1;1;1;1
47467;4;1;1;2;2;1;6;3;4;6;4;1;5;3;5;1;2;1;5;3;1;5;4;2;5;4;6;7;6;5;2;4;1;5;6;1;6;6;3;1;1;1;7;7;4;1;5;3;5;7;2;1;7;1;5;5;1;5;7;1
47483;7;7;7;2;3;3;7;5;5;6;4;3;6;5;5;4;4;5;5;5;4;5;7;7;7;7;5;6;6;5;1;2;3;1;1;1;4;5;3;1;3;1;1;5;5;1;2;3;1;2;4;2;3;1;1;3;4;1;1;2
51804;5;3;3;4;3;3;5;4;1;7;5;2;6;3;1;6;5;3;5;3;5;2;4;5;5;6;7;3;3;1;5;5;7;1;4;1;3;2;1;1;3;2;1;5;5;1;4;1;1;5;5;1;4;1;1;3;1;1;2;1
52779;6;4;5;5;1;1;7;6;5;7;7;7;4;2;1;6;4;1;6;5;1;1;7;7;7;6;4;7;7;3;2;6;6;3;6;1;2;5;1;1;1;1;1;1;1;1;1;1;2;2;1;2;3;1;1;1;1;1;2;1
